dim,dim_cn,decile,H,n,n_day,mean,median,exw,t,win,payoff,pf,p10,p90,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings
ret5,过去5日涨幅,10,10,1048361,2856,-0.002018636901293758,-0.013888922519981861,-0.00890879854272344,-17.771546862902746,0.43730642402760117,1.2221206397479842,0.957350247921671,-0.140172079205513,0.1382979154586792,-0.23044194870890322,-0.9778398220738297,-0.6120822254737321,-0.20527465226828442,367.59022687609075
ret5,过去5日涨幅,10,20,1043058,2846,-0.0005771407994978811,-0.02332358993589878,-0.014502718157690442,-20.99130693921038,0.42788512239971316,1.3183244463271788,0.9910209939109044,-0.1863763704895973,0.1979865774512291,-0.23044194870890322,-0.9778398220738297,-0.6120822254737321,-0.20527465226828442,367.59022687609075
ret10,过去10日涨幅,1,1,1048923,2860,0.0006218051134571265,0.0,7.018087025253375e-05,0.48678236281151266,0.489788096933712,1.0565275074226126,1.055044797264705,-0.034582167863845825,0.035836812108755146,0.12178930242861519,-0.6155172448625,0.4979737672203041,0.18271444717016888,366.7562937062937
ret10,过去10日涨幅,1,5,1046803,2856,0.00271788051994696,-0.002365513239055872,-0.0004177755082492582,-1.3195385480622202,0.4769951939381144,1.195387704405042,1.1080560572136868,-0.07619054466485978,0.08538907170295715,0.12178930242861519,-0.6155172448625,0.4979737672203041,0.18271444717016888,366.7562937062937
ret10,过去10日涨幅,1,10,1044166,2851,0.005139457688571671,-0.004219387890771031,-0.0011861716023481433,-2.786896366367139,0.4737034149742474,1.2604019275228149,1.147187271066251,-0.10575993731617928,0.12396690621972084,0.12178930242861519,-0.6155172448625,0.4979737672203041,0.18271444717016888,366.7562937062937
ret10,过去10日涨幅,1,20,1038879,2841,0.011729400117314423,-0.006557404063642025,-0.0012212251041699472,-2.1520158192391086,0.47429585158618087,1.3695795846148386,1.2447453227227367,-0.14499996602535248,0.184615358710289,0.12178930242861519,-0.6155172448625,0.4979737672203041,0.18271444717016888,366.7562937062937
ret10,过去10日涨幅,2,1,1050365,2860,0.0006614342802590999,0.0,7.903074393978875e-05,0.8328115988042607,0.48872820400527434,1.0606114462588379,1.0669214054615173,-0.029987915605306625,0.031433115899562825,0.13368345435150508,-0.5933336197001535,0.5387725534272048,0.18493607067958376,367.2604895104895
ret10,过去10日涨幅,2,5,1048248,2856,0.003449168233749481,-0.0005705513467546552,0.00047446519484288757,2.2497873164753237,0.4881344872587403,1.1878527932979048,1.1563610365480674,-0.06699688956141471,0.07696659490466122,0.13368345435150508,-0.5933336197001535,0.5387725534272048,0.18493607067958376,367.2604895104895
ret10,过去10日涨幅,2,10,1045600,2851,0.006543815424657405,-0.000695844559231773,0.0004078949201093111,1.4487803329897575,0.49144414690130067,1.237935218969301,1.2132131102050279,-0.09440174028277397,0.11271673664450646,0.13368345435150508,-0.5933336197001535,0.5387725534272048,0.18493607067958376,367.2604895104895
ret10,过去10日涨幅,2,20,1040305,2841,0.013699416869380443,-0.001542026991955936,0.0008969561548033418,2.1849861990192165,0.4915443067177414,1.3588490176785057,1.325561951487723,-0.1305486887693405,0.16902952194213863,0.13368345435150508,-0.5933336197001535,0.5387725534272048,0.18493607067958376,367.2604895104895
