dim,dim_cn,decile,H,n,gross,exw,t
volz20,Volume Z,8,60,1017038,0.028489818796515465,0.0003245578263886273,0.9666475175035061
volz20,Volume Z,9,5,1046323,0.002311679534614086,-0.000647783454041928,-4.34938071041472
volz20,Volume Z,9,10,1043672,0.004985173232853413,-0.0007826400105841458,-3.931523230978829
volz20,Volume Z,9,20,1038382,0.00973011739552021,-0.0016200939426198602,-5.73823425977956
volz20,Volume Z,9,60,1017293,0.025098850950598717,-0.003328155493363738,-7.99127208978278
volz20,Volume Z,10,5,1047743,-9.838100231718272e-05,-0.0032202505972236395,-13.26112654147854
volz20,Volume Z,10,10,1045091,0.001416421146132052,-0.004643823020160198,-15.602467267548654
volz20,Volume Z,10,20,1039793,0.004993504378944635,-0.006765223573893309,-16.96662773966868
volz20,Volume Z,10,60,1018667,0.019463522359728813,-0.009543969295918941,-17.802596446214473
vr20m,量比VR20,1,5,1044643,0.002179862232878804,-0.0008950771298259497,-4.602598320655916
vr20m,量比VR20,1,10,1042001,0.004493538290262222,-0.0016015843721106648,-6.20295659154237
vr20m,量比VR20,1,20,1036707,0.009816414676606655,-0.001692014979198575,-4.367914687795716
vr20m,量比VR20,1,60,1015639,0.02930060401558876,-0.0014245720813050866,-1.9920664867614613
vr20m,量比VR20,2,5,1046068,0.002757416572421789,-0.0002653943083714694,-1.9609690215800706
vr20m,量比VR20,2,10,1043425,0.005358082242310047,-0.0004939454956911504,-2.7300857135452534
vr20m,量比VR20,2,20,1038127,0.010966174304485321,-0.0003884424804709852,-1.529049739543324
vr20m,量比VR20,2,60,1017042,0.029127730056643486,-0.000445689307525754,-1.115669247426432
vr20m,量比VR20,3,5,1046333,0.003348046913743019,0.0004024560039397329,3.6473293585529305
vr20m,量比VR20,3,10,1043684,0.006350244395434856,0.0006236688932403922,4.156383270581674
vr20m,量比VR20,3,20,1038388,0.012244313023984432,0.00112667097710073,5.534188224977515
vr20m,量比VR20,3,60,1017302,0.030838118866086006,0.00199771486222744,6.008791949209701
vr20m,量比VR20,4,5,1046088,0.0037521214690059423,0.0008375919423997402,8.687105181839575
vr20m,量比VR20,4,10,1043443,0.006871035788208246,0.001173126045614481,9.186756236807364
vr20m,量比VR20,4,20,1038149,0.01298256404697895,0.0018694435711950064,10.677474064332944
vr20m,量比VR20,4,60,1017048,0.03152533248066902,0.002908871043473482,10.273595939389558
vr20m,量比VR20,5,5,1045766,0.003912818152457476,0.0011123328004032373,13.042937189561814
vr20m,量比VR20,5,10,1043115,0.0071660494431853294,0.001581527409143746,13.286012782370932
vr20m,量比VR20,5,20,1037825,0.013248595409095287,0.0022691928315907717,13.970114654567553
vr20m,量比VR20,5,60,1016743,0.03149240091443062,0.003131047822535038,11.521521031077159
vr20m,量比VR20,6,5,1046623,0.003947780001908541,0.0011513213394209743,14.627726688912459
vr20m,量比VR20,6,10,1043971,0.007336178794503212,0.0017955803778022528,15.56989237518924
vr20m,量比VR20,6,20,1038678,0.01347324438393116,0.0025551810394972563,15.67630350362951
