variant,year,n_day,ret,mdd
S ret20 D2~D6 | 市场 HV20 < 中位,2025,243,0.08950628311964848,-0.1135007410827713
S ret20 D2~D6 | 市场 HV20 < 中位,2026,175,-0.043032011127474123,-0.17415024300628057
S ret20 D2~D6 | Breadth > 中位,2015,244,0.38968733551176005,-0.37919010793765684
S ret20 D2~D6 | Breadth > 中位,2016,244,-0.1096345055381126,-0.21261087980580873
S ret20 D2~D6 | Breadth > 中位,2017,244,0.045429573587210115,-0.0846559907517761
S ret20 D2~D6 | Breadth > 中位,2018,243,-0.1467663168618737,-0.26689852480724485
S ret20 D2~D6 | Breadth > 中位,2019,244,0.3727729364438477,-0.10167152850504602
S ret20 D2~D6 | Breadth > 中位,2020,243,0.243001278491636,-0.12275727994663133
S ret20 D2~D6 | Breadth > 中位,2021,243,0.25260758158361063,-0.04297819970099137
S ret20 D2~D6 | Breadth > 中位,2022,242,0.12968753321703952,-0.11512481163448929
S ret20 D2~D6 | Breadth > 中位,2023,242,0.013399181309452501,-0.13755388105958943
S ret20 D2~D6 | Breadth > 中位,2024,242,0.3138898929494882,-0.12286085291391857
S ret20 D2~D6 | Breadth > 中位,2025,243,0.18838761634108425,-0.0937718046985121
S ret20 D2~D6 | Breadth > 中位,2026,175,0.07191729906781541,-0.11326075692800308
S ret20 D2~D6 | Breadth < 中位,2015,244,0.5086058434151808,-0.26542813245477115
S ret20 D2~D6 | Breadth < 中位,2016,244,0.2657286302286823,-0.13201447493016893
S ret20 D2~D6 | Breadth < 中位,2017,244,-0.18334346453903572,-0.22592493460452057
S ret20 D2~D6 | Breadth < 中位,2018,243,-0.12216327978845398,-0.23768225375956487
S ret20 D2~D6 | Breadth < 中位,2019,244,0.07989067229295821,-0.17243708459347362
S ret20 D2~D6 | Breadth < 中位,2020,243,-0.029195470681035673,-0.18507858623046403
S ret20 D2~D6 | Breadth < 中位,2021,243,0.046452796461441404,-0.08292424096628281
S ret20 D2~D6 | Breadth < 中位,2022,242,-0.13174028149984385,-0.24517013187053827
S ret20 D2~D6 | Breadth < 中位,2023,242,0.12730754639758213,-0.06949605243692414
S ret20 D2~D6 | Breadth < 中位,2024,242,-0.15335236245131234,-0.33533416438718366
S ret20 D2~D6 | Breadth < 中位,2025,243,0.2946397001491785,-0.16963278858866981
S ret20 D2~D6 | Breadth < 中位,2026,175,-0.06556218627988597,-0.183552261914099
L 深度超跌 | 全环境,2015,244,1.2733610323703224,-0.47388532813400286
L 深度超跌 | 全环境,2016,244,0.18619333828057516,-0.243478227096939
L 深度超跌 | 全环境,2017,244,-0.1727766664923387,-0.265044896225613
L 深度超跌 | 全环境,2018,243,-0.24454187493263047,-0.369292802637478
L 深度超跌 | 全环境,2019,244,0.5743654327280825,-0.17381816168195674
L 深度超跌 | 全环境,2020,243,0.14783237684594397,-0.21086596864567098
L 深度超跌 | 全环境,2021,243,0.37285315317977097,-0.1401520720413093
L 深度超跌 | 全环境,2022,242,-0.023686823273579294,-0.338357911387726
L 深度超跌 | 全环境,2023,242,0.058973182869086704,-0.14847449403403867
L 深度超跌 | 全环境,2024,242,0.24431703428475826,-0.37870450105477427
L 深度超跌 | 全环境,2025,243,0.7052234395733137,-0.17522955298179832
L 深度超跌 | 全环境,2026,175,0.0610515280359476,-0.2545256835267038
L 深度超跌 | 市场 Close>MA60,2015,244,0.33256262345891185,-0.42163702970118067
