entry,exit,n,mean,median,win,p10,p25,p50,p75,p90,ex,exw,t,hold_mean
EN4_柱连3日改善,XB_跌破MA20,5242633,0.0033841480390488436,-0.009523795037504779,0.3611494453264228,-0.0643203874507849,-0.032640932957651914,-0.009523795037504779,0.010825457220300816,0.05660372068368984,-0.009124809117651112,-0.009084931729865818,-7.5804210426044305,7.309346086212787
EN4_柱连3日改善,XC_跌破MA60,5232469,0.0018421929205337817,-0.008611149258083817,0.3696073497998746,-0.08722739309547085,-0.03736267579872832,-0.008611149258083817,0.010204101087336825,0.04531719853839005,-0.010699538645435987,-0.010366881543636249,-7.37322658748579,11.067828782167654
EN4_柱连3日改善,XD_ATR2倍止损,5145877,0.01258046825433888,-0.0628218254185855,0.3050554842255266,-0.13800423166820985,-0.09925141555293926,-0.0628218254185855,0.05172755356644765,0.25398221960996026,0.0005407493274387139,-0.0027070074860189833,-1.4325605399159258,34.023712576107044
EN4_柱连3日改善,XD_ATR3倍止损,5122644,0.016021182452454378,-0.06548103559702306,0.37684738584215494,-0.17362929253927348,-0.12367784958456457,-0.06548103559702306,0.08937336063500445,0.28321319800171696,0.0038651978331386686,-0.0011972075903319691,-0.5641172586722855,42.29551946221522
EN4_柱连3日改善,XE_固定止损-5%,5178704,0.010088261265376642,-0.05648147796230707,0.2462208691595426,-0.09328493138028021,-0.07092904785475207,-0.05648147796230707,-0.004137953333248068,0.2067307836211528,-0.00200396204601251,-0.0037058986098485376,-2.2736251005650585,27.603451558536655
EN4_柱连3日改善,XE_固定止损-8%,5153148,0.013150059631363113,-0.08213554512671428,0.32350206126429903,-0.12020030649962885,-0.09775637889655839,-0.08213554512671428,0.058891465769516926,0.25248512622253244,0.0010443609284170152,-0.002049493168511112,-1.1132714276780196,35.839497526560464
EN4_柱连3日改善,XE_固定止损-10%,5141055,0.014967545029935622,-0.09543875536946533,0.36220892404380034,-0.1370462990184902,-0.11507018835704302,-0.09543875536946533,0.0785331121567181,0.2694674882360355,0.002830875189401001,-0.0011616865210560823,-0.5912149006607881,40.26466299232356
EN4_柱连3日改善,XE_固定止损-15%,5123048,0.01867013094269429,-0.03786196309229539,0.42188009950326444,-0.1779070109261367,-0.1566951494294797,-0.03786196309229539,0.10242580925254025,0.2910447533211026,0.006478592996186653,0.0004926662410538505,0.2240411656016889,48.33709365986811
EN4_柱连3日改善,XF_移动止盈8%,5210063,0.007158394809266746,-0.03731348528365808,0.36520537275652903,-0.10089912468134594,-0.0794844396346368,-0.03731348528365808,0.047960536988975844,0.16875867681233,-0.005260784925900797,-0.00568772280167504,-5.180467916627486,20.987920683492696
EN4_柱连3日改善,XF_移动止盈12%,5172031,0.01233562527440857,-0.042553256375633675,0.38721287633426793,-0.13559325047520054,-0.10985457545277766,-0.042553256375633675,0.07142857739795916,0.22479925476395413,-1.615927265437387e-05,-0.000431156013048056,-0.32168424692060343,32.128543893105046
EN4_柱连3日改善,XG_MACD死叉,5229416,0.011345069693058936,-0.016323668801976554,0.39315403479088296,-0.09705558080281773,-0.05304214761625889,-0.016323668801976554,0.04063463197465883,0.14058774132091612,-0.0010999169772174242,-0.0025541209420440456,-2.9099418091503466,16.778182879311952
EN4_柱连3日改善,XH_hist连3日降,5241509,0.004307848080116761,-0.010526272571254935,0.4099804083137127,-0.07852759903887681,-0.042105259946568996,-0.010526272571254935,0.030919402155704212,0.09741759595013792,-0.008220250907131922,-0.008481399693445184,-7.254778378401029,8.337289318782053
EN5_柱连5日改善,XA_固定持有5日,1639275,0.002087560490074924,-0.001673599695872774,0.47883180064357717,-0.07034483806460537,-0.03326937096040539,-0.001673599695872774,0.030480076192841765,0.07418397878032135,-0.0005255707768920991,-0.004595579842638034,-13.158046213306203,5.0
EN5_柱连5日改善,XA_固定持有10日,1637598,0.007356483592748257,0.0009880797844336042,0.5027009070602186,-0.09442059235319623,-0.044989770953142355,0.0009880797844336042,0.047545250254924676,0.10967180822198251,0.0005413106378389052,-0.004867495516970247,-10.201801968899668,10.0
EN5_柱连5日改善,XA_固定持有20日,1632066,0.016580922716579814,0.0047732771204372915,0.5169662256305811,-0.13377929641037373,-0.06382971407639351,0.0047732771204372915,0.07574986805288159,0.16972479127460194,0.0012584634585430263,-0.006285810337944401,-10.858090648462362,20.0
EN5_柱连5日改善,XA_固定持有30日,1625971,0.020460489128667703,0.0014471906693598324,0.5028939630534616,-0.16263548311818543,-0.0808823626088847,0.0014471906693598324,0.0917030753080984,0.2105943617382744,0.0011121099938759935,-0.007757412058932039,-11.582231785806885,30.0
EN5_柱连5日改善,XA_固定持有40日,1604260,0.026055446346051534,-0.0028859999686663973,0.4897329609913605,-0.18032785396972892,-0.09207177968792726,-0.0028859999686663973,0.10188159697524746,0.2469231591612053,0.0014085015072409445,-0.007755614431911711,-10.957874655974626,40.0
EN5_柱连5日改善,XA_固定持有60日,1594254,0.03412603575390957,-0.008768068829467734,0.4768901316854153,-0.2101217702697737,-0.1123946657949896,-0.008768068829467734,0.1204013802329687,0.3041894274590294,0.00048033547437890104,-0.010976058760081769,-13.221310292047216,60.0
EN5_柱连5日改善,XB_跌破MA20,1637954,0.004804376412813226,-0.009785137298301883,0.3615919616790215,-0.06798243391282881,-0.03386453505931386,-0.009785137298301883,0.011669639496905193,0.06677846589377488,-0.01038665164692079,-0.011542046123072924,-9.719216096377668,8.190195206947203
EN5_柱连5日改善,XC_跌破MA60,1635999,0.0030629226710782663,-0.0071501413461461105,0.37893849568367705,-0.07917746061947102,-0.03181817068885212,-0.0071501413461461105,0.010342054312005411,0.042105252334258526,-0.012159956320920961,-0.013701359026972143,-9.430198392795456,10.043897948592878
EN5_柱连5日改善,XD_ATR2倍止损,1606123,0.015696991250384727,-0.06079826210954087,0.3179046685714606,-0.13439633988910227,-0.09667932326699163,-0.06079826210954087,0.0598193285946379,0.25414469299618553,0.001061146359393578,-0.007264928995827379,-3.8591289814067973,34.830968113899125
EN5_柱连5日改善,XD_ATR3倍止损,1599156,0.019452321382646482,-0.06107786786814873,0.3880990972738119,-0.16862746173837262,-0.12048192494215626,-0.06107786786814873,0.09345792139972786,0.2820512899932228,0.004742946577739739,-0.006136783968794027,-2.914030380357708,42.937492652374125
EN5_柱连5日改善,XE_固定止损-5%,1616837,0.012956377038112539,-0.05587672065627214,0.260417098322218,-0.09310338928937904,-0.07047390308176715,-0.05587672065627214,0.012178000433465952,0.21238935528826053,-0.0017874001419133265,-0.007341751092811026,-4.4879978936792115,28.598349122391436
EN5_柱连5日改善,XE_固定止损-8%,1608916,0.016508132751052493,-0.08112504984940178,0.33738367944628556,-0.1192307520989796,-0.09698272716050615,-0.08112504984940178,0.06689564326797948,0.25483140498257184,0.001789023500706904,-0.006416610499069899,-3.476336981411367,36.76741172317262
EN5_柱连5日改善,XE_固定止损-10%,1605204,0.01822593906910971,-0.09071344130507492,0.3746695124108836,-0.13589633019316988,-0.11420617444940642,-0.09071344130507492,0.08430231420698764,0.27038904947239,0.003503056078276242,-0.005901046007925825,-2.9978044202847367,41.0865316807085
EN5_柱连5日改善,XE_固定止损-15%,1599203,0.021844378506547902,-0.03175167381835431,0.4321727760640769,-0.176713414559717,-0.1556433237027467,-0.03175167381835431,0.10589294450059117,0.29032265226859255,0.00710672006021721,-0.00494916457866823,-2.2503638340715804,48.90889274219721
EN5_柱连5日改善,XF_移动止盈8%,1629460,0.009727317104035842,-0.03444740926639378,0.376734010040136,-0.10033021458195697,-0.07865174187950233,-0.03444740926639378,0.05235005523618014,0.17267255324163708,-0.005375188507879625,-0.009628451018169453,-8.244215792053645,21.630494765136916
EN5_柱连5日改善,XF_移动止盈12%,1616842,0.015533180404256684,-0.037877003350745175,0.39859800772122445,-0.13452493642338997,-0.10785340987132522,-0.037877003350745175,0.07584775552831896,0.22752792291744955,0.0005573044086487327,-0.004116840583339236,-2.9595037150047103,32.8564108304955
EN5_柱连5日改善,XG_MACD死叉,1633922,0.013380059322330218,-0.017167366164289044,0.40693068579773084,-0.10068655581884585,-0.05686277059753361,-0.017167366164289044,0.048780548635253884,0.15112545934753482,-0.0017293167358865774,-0.006388823264295419,-6.578447784924346,17.734348396067865
EN5_柱连5日改善,XH_hist连3日降,1638466,0.004947054387864088,-0.009819984583889663,0.41991228380692674,-0.07953137305684416,-0.042325625990858345,-0.009819984583889663,0.03344477065939766,0.09946667179003177,-0.01026838070208577,-0.012892807915886094,-10.464866976364723,8.560711055340787
EN6_金叉+不过热+量温和+RS正,XA_固定持有5日,70298,0.002730768067356798,-0.0005337983454730133,0.4866568038920026,-0.06276982110550461,-0.03048784739814525,-0.0005337983454730133,0.028644657773381987,0.06730913194358872,0.00026755566425412815,-0.0012562349883088514,-2.1585472974075075,5.0
EN6_金叉+不过热+量温和+RS正,XA_固定持有10日,70136,0.005502271037460427,0.0,0.49322744382342876,-0.08783933977230696,-0.04392900249379919,0.0,0.04429527103948644,0.09993645708346144,-5.0618975055531e-05,-0.0015499449904651627,-2.100249696784664,10.0
EN6_金叉+不过热+量温和+RS正,XA_固定持有20日,70044,0.012483694875796147,-0.0017793712927062222,0.4897207469590543,-0.12256364891697431,-0.06435299142784953,-0.0017793712927062222,0.06684677065209477,0.15667063570189688,-0.0016778352748612585,-0.0037414077093099424,-3.620408620574678,20.0
EN6_金叉+不过热+量温和+RS正,XA_固定持有30日,70021,0.021055662437582418,0.0,0.4970223218748661,-0.14384748471914877,-0.07372985783411445,0.0,0.0848563999662868,0.1981326874552347,-0.00224623799500166,-0.003991040921638961,-3.2563086862369546,30.0
EN6_金叉+不过热+量温和+RS正,XA_固定持有40日,69315,0.027539762686601046,-0.0017953731730053768,0.49302459785039315,-0.16105250050877395,-0.08454722569865819,-0.0017953731730053768,0.0977847901260841,0.23490258140919293,-0.00017019397995866664,-0.003283930406506749,-2.2875202931872467,40.0
