entry,train,test,best_exit,train_exw,test_n,test_mean,test_win,test_exw,test_t
EN6_金叉+不过热+量温和+RS正,2016-2020,2021,XA_固定持有40日,0.0034092052889313934,4764,0.04986701212317977,0.5503778337531486,-0.009483779468180244,-2.107299937975238
EN6_金叉+不过热+量温和+RS正,2017-2021,2022,XE_固定止损-15%,0.0019777855021601252,7289,-0.015030975351834055,0.39209768143778295,-0.015101196670964628,-2.8903550894006043
EN6_金叉+不过热+量温和+RS正,2018-2022,2023,XE_固定止损-15%,0.003515803078538298,8773,-0.013012257313630024,0.3940499259090391,-0.027506390851739466,-5.65510944311043
EN6_金叉+不过热+量温和+RS正,2019-2023,2024,XE_固定止损-15%,0.004805744790053102,9130,0.09089028909038185,0.5002190580503834,0.049874442930269144,4.4355638497365275
EN6_金叉+不过热+量温和+RS正,2020-2024,2025,XE_固定止损-15%,0.009165175671153207,6477,0.08796961388394535,0.6015130461633472,0.03983449577950103,4.868271158701386
EN6_金叉+不过热+量温和+RS正,2021-2025,2026,XE_固定止损-15%,0.011080389305658451,3510,-0.03814217305743542,0.2433048433048433,-0.058278900092956686,-4.094419537881544
EN7_0轴下金叉+距60日高点<-15%,2015-2019,2020,XA_固定持有5日,-0.00810436441476063,12325,-0.00021211056759517586,0.43578093306288035,-0.007867597032760121,-3.7459220722695568
EN7_0轴下金叉+距60日高点<-15%,2016-2020,2021,XC_跌破MA60,-0.005920657785256875,15618,0.002718325663097046,0.46311947752593163,-0.02218325306606483,-9.34328864564963
EN7_0轴下金叉+距60日高点<-15%,2017-2021,2022,XA_固定持有5日,-0.005777738919174345,18962,0.002257243362933378,0.5080687691171817,-0.0028110416631275956,-2.2582067057926927
EN7_0轴下金叉+距60日高点<-15%,2018-2022,2023,XA_固定持有5日,-0.005042101768584306,15148,0.003427617265860414,0.5052812252442567,-0.0014342568614274663,-1.2499469586772767
EN7_0轴下金叉+距60日高点<-15%,2019-2023,2024,XA_固定持有5日,-0.004220455818643917,22391,0.013659025108150903,0.46755392791746686,-0.006184522941036013,-3.125099032638454
EN7_0轴下金叉+距60日高点<-15%,2020-2024,2025,XE_固定止损-15%,-0.0010115664677611737,16837,0.08885928320935453,0.6149551582823544,0.022570857825622653,3.679025861104302
EN7_0轴下金叉+距60日高点<-15%,2021-2025,2026,XE_固定止损-15%,0.0041588373156187415,10261,-0.05783877745374129,0.2109930805964331,-0.0800944297984288,-10.126078057504097
EN8_金叉+放量跌为主,2015-2019,2020,XA_固定持有30日,0.002280665153769489,424,0.007985191100931696,0.4481132075471698,-0.004229131424196081,-0.3626283751095744
EN8_金叉+放量跌为主,2016-2020,2021,XA_固定持有30日,-0.0016916470883890336,692,0.022077540248068368,0.5216763005780347,-0.006793695302070617,-0.7200568104518947
EN8_金叉+放量跌为主,2017-2021,2022,XA_固定持有10日,-0.0022881756158159585,938,0.02451155425779349,0.5991471215351812,-0.003060452637371905,-0.4536946227256707
EN8_金叉+放量跌为主,2018-2022,2023,XA_固定持有10日,-0.002376414591726089,1003,0.005356871300152663,0.4935194416749751,-0.007441328326016037,-1.9776543095503578
EN8_金叉+放量跌为主,2019-2023,2024,XA_固定持有10日,-0.0004095935431273854,2067,0.05268199181383132,0.7213352685050798,-0.002956215076781727,-0.3200878299626802
EN8_金叉+放量跌为主,2020-2024,2025,XA_固定持有10日,0.0002067780020180813,463,0.021287576325573113,0.5550755939524838,0.003301235383834828,0.47503763161648377
EN8_金叉+放量跌为主,2021-2025,2026,XA_固定持有10日,0.0005028857991302043,688,-0.0179109854358551,0.38808139534883723,-0.0040270201018552994,-0.702540651689676
EN9_慢改善未翻红,2015-2019,2020,XF_移动止盈12%,-0.002762700389571502,143235,0.015699446358001645,0.3997626278493385,0.0008597667820681471,0.22380151269225057
EN9_慢改善未翻红,2016-2020,2021,XA_固定持有5日,-0.0026948039995592908,151428,0.0030527730432543024,0.48304144543941674,-0.0027781908174478406,-4.797455522803469
EN9_慢改善未翻红,2017-2021,2022,XA_固定持有5日,-0.0023748850466261935,177668,-0.0006811077962718935,0.4820226489857487,-0.002706140919216933,-3.7162057525632255
EN9_慢改善未翻红,2018-2022,2023,XE_固定止损-15%,-0.0020121468590936806,191735,-0.02094406005005886,0.3709077633191645,-0.022648134166743637,-7.126730069078352
EN9_慢改善未翻红,2019-2023,2024,XE_固定止损-15%,-0.0006500514017545536,198105,0.04081950924715486,0.4130284445117488,0.04267133402051475,4.568421425942822
EN9_慢改善未翻红,2020-2024,2025,XE_固定止损-15%,0.007456073354161366,220624,0.08019889488742021,0.5970202697802597,0.03319677064364096,6.794728637503226
EN9_慢改善未翻红,2021-2025,2026,XE_固定止损-15%,0.011650663685486413,114789,-0.04243054178675933,0.229978482258753,-0.06644020488486821,-8.71005551696509
