entry,exit,seg,n,mean,win,exw,t
EN3_0轴上金叉,XA_固定持有30日,验证2023-2024,30252,-0.01090371902690214,0.3834457225968531,-0.020198563209451813,-7.805500166979348
EN3_0轴上金叉,XA_固定持有30日,测试2025-2026,30207,0.01769624169319798,0.4646605091535075,-0.01790931055148666,-5.444939367061393
EN3_0轴上金叉,XA_固定持有40日,训练2015-2022,78503,-0.004348475344749147,0.4108760174770391,-0.02077026732422993,-12.894172789951096
EN3_0轴上金叉,XA_固定持有40日,验证2023-2024,30252,-0.018254564142213527,0.3542575697474547,-0.019570748292102515,-7.073097179937935
EN3_0轴上金叉,XA_固定持有40日,测试2025-2026,30004,0.031899994313074234,0.4828022930275963,-0.017901483384067492,-5.25236352740758
EN3_0轴上金叉,XA_固定持有60日,训练2015-2022,78503,-0.003371765499040914,0.39905481319185254,-0.02419827395108804,-12.399656014037282
EN3_0轴上金叉,XA_固定持有60日,验证2023-2024,30252,-0.0047906478077263765,0.3730662435541452,-0.019482626784240915,-6.153370767271486
EN3_0轴上金叉,XA_固定持有60日,测试2025-2026,29705,0.051889022970141724,0.496583066823767,-0.013652262603706859,-3.715401672629007
EN3_0轴上金叉,XB_跌破MA20,训练2015-2022,78503,0.00043823834531582094,0.27298319809434035,-0.016332404268091776,-9.79067041799812
EN3_0轴上金叉,XB_跌破MA20,验证2023-2024,30252,-0.00964864966041673,0.23343911146370488,-0.016297589618304142,-5.65806711936126
EN3_0轴上金叉,XB_跌破MA20,测试2025-2026,30484,0.00709294010406858,0.2863797401915759,-0.017360825738239178,-6.080085947621171
EN3_0轴上金叉,XC_跌破MA60,训练2015-2022,78503,-0.005168769454979528,0.25342980523037334,-0.01823644053501817,-7.778562367561939
EN3_0轴上金叉,XC_跌破MA60,验证2023-2024,30252,-0.017062328191493933,0.204713737934682,-0.01814246907692632,-5.827173642473544
EN3_0轴上金叉,XC_跌破MA60,测试2025-2026,30325,0.014030029619415726,0.28692497938994227,-0.0199160723371583,-5.561888320461326
EN3_0轴上金叉,XD_ATR2倍止损,训练2015-2022,78503,-0.009204128684874203,0.24912423729029465,-0.018631316306083966,-6.725937090325999
EN3_0轴上金叉,XD_ATR2倍止损,验证2023-2024,30252,-0.0204718409626224,0.2018378950152056,-0.01895104812745814,-4.716198014336852
EN3_0轴上金叉,XD_ATR2倍止损,测试2025-2026,30172,0.018812996785515002,0.3057470502452605,-0.021959965828445314,-5.047723749287146
EN3_0轴上金叉,XD_ATR3倍止损,训练2015-2022,78503,-0.012317990539355185,0.3149051628600181,-0.02136605286664186,-6.959175468677951
EN3_0轴上金叉,XD_ATR3倍止损,验证2023-2024,30252,-0.02310166538595607,0.2659328308872141,-0.015281243789576874,-3.0188147917159673
EN3_0轴上金叉,XD_ATR3倍止损,测试2025-2026,30016,0.022669031749469295,0.380830223880597,-0.022550416806588675,-4.400044066750323
EN3_0轴上金叉,XE_固定止损-5%,训练2015-2022,78503,-0.003699534712247595,0.19510082417232463,-0.015278656276558554,-6.268895112149424
EN3_0轴上金叉,XE_固定止损-5%,验证2023-2024,30252,-0.014758444208947364,0.1614438714795716,-0.015752562096916844,-5.24717354413381
EN3_0轴上金叉,XE_固定止损-5%,测试2025-2026,30293,0.01979538865290549,0.25590070313273694,-0.015378295470110635,-4.408484227842798
EN3_0轴上金叉,XE_固定止损-8%,训练2015-2022,78503,-0.005586813554126206,0.2605250754748226,-0.0150200733096867,-5.620922418762221
EN3_0轴上金叉,XE_固定止损-8%,验证2023-2024,30252,-0.019351437763185847,0.2231918550839614,-0.016401885743050796,-4.407382572928491
EN3_0轴上金叉,XE_固定止损-8%,测试2025-2026,30193,0.023870317084510935,0.3311363561090319,-0.015590297157410626,-3.8402274976640567
EN3_0轴上金叉,XE_固定止损-10%,训练2015-2022,78503,-0.006525708952995473,0.2956320140631568,-0.01594076701955099,-5.703497649865702
