entry,exit,seg,n_sig,cagr,mdd,win,exw,t_exw,n_days
R3_仅超跌+缩量,XA_固定持有10日,训练2015-2022,135449,-0.34310616074510436,-0.9773931178476725,0.5036687631027253,-0.0020153033605193457,-11.459627096410484,1947
R3_仅超跌+缩量,XA_固定持有10日,验证2023-2024,35097,-0.09509859902734541,-0.4217662545543681,0.4793388429752066,-0.0007786158171998932,-2.235277774882693,484
R3_仅超跌+缩量,XA_固定持有10日,测试2025-2026,56335,-0.08845057977712412,-0.38570689919730794,0.5155875299760192,-0.0011905253138170052,-2.876387410861365,418
R3_仅超跌+缩量,XD_ATR2倍止损,训练2015-2022,135449,-0.3469276580771806,-0.9783754228989016,0.5083857442348009,-0.0020381645176286807,-11.504255736314096,1947
R3_仅超跌+缩量,XD_ATR2倍止损,验证2023-2024,35097,-0.11174685035977328,-0.44057854611583447,0.4772727272727273,-0.0008559591051701148,-2.421514388890987,484
R3_仅超跌+缩量,XD_ATR2倍止损,测试2025-2026,56335,-0.10245410789066178,-0.3889203162279924,0.5179856115107914,-0.001253596399638233,-3.068839788784002,418
R3_仅超跌+缩量,XD_ATR3倍止损,训练2015-2022,135449,-0.3392971368313189,-0.9763704957621888,0.5062893081761006,-0.0019920709413858055,-11.31425001192994,1947
R3_仅超跌+缩量,XD_ATR3倍止损,验证2023-2024,35097,-0.10160822325774521,-0.4294678297918014,0.4772727272727273,-0.0008096937819868387,-2.3137504599539667,484
R3_仅超跌+缩量,XD_ATR3倍止损,测试2025-2026,56335,-0.09057851555498186,-0.38728743637272944,0.5179856115107914,-0.0011991977859394255,-2.889424316954616,418
R4_完整+0轴下,XA_固定持有5日,训练2015-2022,30162,-0.30497189903517363,-0.9466755198788052,0.47455470737913485,-0.0018483713014600571,-7.931214162257539,1947
R4_完整+0轴下,XA_固定持有5日,验证2023-2024,8008,-0.18530726446681822,-0.4673474593169685,0.4383561643835616,-0.0006240320125183516,-1.6430353829044595,484
R4_完整+0轴下,XA_固定持有5日,测试2025-2026,11586,-0.25810876892261203,-0.44561931259738974,0.48292682926829267,-0.0019195877671316628,-4.072692761715526,418
R4_完整+0轴下,XA_固定持有10日,训练2015-2022,30162,-0.2033452765345084,-0.8578703459804013,0.5002992220227409,-0.0012478243733708325,-5.875896534761917,1947
R4_完整+0轴下,XA_固定持有10日,验证2023-2024,8008,-0.07487082527136935,-0.37699488869217423,0.473568281938326,-0.00035508370436672945,-0.9906685709329724,484
R4_完整+0轴下,XA_固定持有10日,测试2025-2026,11586,-0.07832926764464965,-0.25910827011995174,0.5408653846153846,-0.0012158648874173424,-2.834031245057023,418
R4_完整+0轴下,XD_ATR2倍止损,训练2015-2022,30162,-0.2045739855786879,-0.8595383838664498,0.5005988023952096,-0.001230134393775291,-5.745962139913837,1947
R4_完整+0轴下,XD_ATR2倍止损,验证2023-2024,8008,-0.0906598682516443,-0.35256623526133324,0.47577092511013214,-0.0004408513317437091,-1.1071629279743613,484
R4_完整+0轴下,XD_ATR2倍止损,测试2025-2026,11586,-0.10618562287134892,-0.29474269164642064,0.5336538461538461,-0.001342108402105818,-3.09931369330475,418
R4_完整+0轴下,XD_ATR3倍止损,训练2015-2022,30162,-0.1985662787769218,-0.8511415222335408,0.5002992220227409,-0.0012205786977734709,-5.72185750627329,1947
R4_完整+0轴下,XD_ATR3倍止损,验证2023-2024,8008,-0.0761841879147025,-0.35971449590813664,0.47577092511013214,-0.000369360964261174,-0.9974883134162833,484
R4_完整+0轴下,XD_ATR3倍止损,测试2025-2026,11586,-0.09046148773047458,-0.27504326196258,0.5408653846153846,-0.0012695497072295545,-2.9474485470418106,418
R5_完整但不剔除D1,XA_固定持有5日,训练2015-2022,40077,-0.2670959621538569,-0.9298384914573201,0.48882175226586105,-0.0016418659993238972,-6.691535125882084,1947
R5_完整但不剔除D1,XA_固定持有5日,验证2023-2024,10830,-0.24369737584996132,-0.5250431644684911,0.43832599118942733,-0.001174384127798406,-2.8158724385628386,484
R5_完整但不剔除D1,XA_固定持有5日,测试2025-2026,15105,-0.26496957400787147,-0.44766024673678806,0.4963680387409201,-0.0020316389341437134,-4.705533391305982,418
R5_完整但不剔除D1,XA_固定持有10日,训练2015-2022,40077,-0.1510744107073917,-0.7938155470200097,0.5072547881601858,-0.0010775790438366717,-5.170100591289806,1947
R5_完整但不剔除D1,XA_固定持有10日,验证2023-2024,10830,-0.12841427516159076,-0.3795970695562736,0.4752688172043011,-0.0007761350781874757,-2.0209330005539443,484
R5_完整但不剔除D1,XA_固定持有10日,测试2025-2026,15105,-0.09120869252486019,-0.24227339841015127,0.5251798561151079,-0.0012899275743707395,-3.165750458692093,418
R5_完整但不剔除D1,XD_ATR2倍止损,训练2015-2022,40077,-0.14699581213169355,-0.7860831131132939,0.5069767441860465,-0.0010760511590611741,-5.11682027071063,1947
R5_完整但不剔除D1,XD_ATR2倍止损,验证2023-2024,10830,-0.1426941920824485,-0.3607634302846787,0.4752688172043011,-0.0008617530894186885,-2.0993797480391354,484
