factor,factor_cn,group,decile,n,exw,t
px_ma60_pct,距MA60,价格,7,1036428,-0.0016658212305840547,-5.189129403979298
px_ma60_pct,距MA60,价格,8,1036167,-0.003943202217409385,-10.059557550210116
px_ma60_pct,距MA60,价格,9,1036419,-0.007954225270836994,-14.671766182741436
px_ma60_pct,距MA60,价格,10,1037823,-0.01615060204580108,-17.868329773345334
px_ma120_pct,距MA120,价格,1,1028197,0.00345536667507697,5.445181031439478
px_ma120_pct,距MA120,价格,2,1029592,0.001152780369655681,2.577833255767463
px_ma120_pct,距MA120,价格,3,1029867,0.0007546319549939529,2.1130345127046244
px_ma120_pct,距MA120,价格,4,1029600,0.0005998595433002419,1.9504625119592627
px_ma120_pct,距MA120,价格,5,1029284,0.00010175452466099801,0.3677435686598181
px_ma120_pct,距MA120,价格,6,1030138,-0.0006805832622133932,-2.504945828731107
px_ma120_pct,距MA120,价格,7,1029838,-0.0020309064443989294,-6.565816546345997
px_ma120_pct,距MA120,价格,8,1029605,-0.003969514715579096,-10.248879931493235
px_ma120_pct,距MA120,价格,9,1029830,-0.0068037510652662085,-12.344089608823092
px_ma120_pct,距MA120,价格,10,1031237,-0.014700810549643565,-15.63091763419841
sl5,MA5斜率,趋势,1,1038695,0.006529130342810387,9.42754981286032
sl5,MA5斜率,趋势,2,1040128,0.00429078993747765,9.656962045895154
sl5,MA5斜率,趋势,3,1040467,0.0031650808726395824,8.949239032442565
sl5,MA5斜率,趋势,4,1040113,0.0015962746334539078,5.323685116062739
sl5,MA5斜率,趋势,5,1039604,0.0001772519499524538,0.6127152814742457
sl5,MA5斜率,趋势,6,1040779,-0.0012890530567980334,-4.588878756024466
sl5,MA5斜率,趋势,7,1040379,-0.003013273830343678,-10.337680545037864
sl5,MA5斜率,趋势,8,1040352,-0.004885980025835186,-14.789382611313837
sl5,MA5斜率,趋势,9,1040305,-0.008268172032454764,-20.822677664297224
sl5,MA5斜率,趋势,10,1041858,-0.01660361859440461,-28.69466164700913
sl20,MA20斜率,趋势,1,1030794,-0.005221407954372997,-6.159982240512033
sl20,MA20斜率,趋势,2,1032205,-0.0033863608368562923,-6.497811383747758
sl20,MA20斜率,趋势,3,1032492,-0.0015872894714622973,-4.140310659371369
sl20,MA20斜率,趋势,4,1032206,-0.00029881772861636017,-0.9266532076652217
sl20,MA20斜率,趋势,5,1031875,-9.720448386817185e-05,-0.32563017065644206
sl20,MA20斜率,趋势,6,1032793,-0.00031745687120996374,-1.081713950723169
