variant,year,n_day,ret,mdd
C3 ret60 D2~D3,2016,244,0.15246928074370536,-0.2391688893703111
C3 ret60 D2~D3,2017,244,-0.18280226274753797,-0.2502844720228856
C3 ret60 D2~D3,2018,243,-0.24451701205263532,-0.35526521005822
C3 ret60 D2~D3,2019,244,0.4808625583787254,-0.18068575731322023
C3 ret60 D2~D3,2020,243,0.21714776232083044,-0.19922352473780858
C3 ret60 D2~D3,2021,243,0.3288340621190604,-0.12293789130855826
C3 ret60 D2~D3,2022,242,-0.05377059074378299,-0.3362501271931003
C3 ret60 D2~D3,2023,242,0.07665293192354183,-0.12848347409360095
C3 ret60 D2~D3,2024,242,0.17902246117326048,-0.34459287109552406
C3 ret60 D2~D3,2025,243,0.5553751785585734,-0.14377420323332746
C3 ret60 D2~D3,2026,175,0.04876885009130927,-0.22045458094451886
D1 距MA60 D1 (最极端),2015,244,2.129509089148499,-0.4868367397613287
D1 距MA60 D1 (最极端),2016,244,0.27951766124223854,-0.2267514894491145
D1 距MA60 D1 (最极端),2017,244,-0.15063394265693453,-0.24972323531665563
D1 距MA60 D1 (最极端),2018,243,-0.2695572230450449,-0.3956391990749051
D1 距MA60 D1 (最极端),2019,244,0.6248958826039017,-0.1771480447939997
D1 距MA60 D1 (最极端),2020,243,0.14964171854630703,-0.2121405191159279
D1 距MA60 D1 (最极端),2021,243,0.37998595945269575,-0.13612804350879426
D1 距MA60 D1 (最极端),2022,242,-0.010983420661829335,-0.34598748256293754
D1 距MA60 D1 (最极端),2023,242,0.08111563336944627,-0.13119822286468963
D1 距MA60 D1 (最极端),2024,242,0.1979535826538219,-0.4102743180024644
D1 距MA60 D1 (最极端),2025,243,0.7762453074874036,-0.1887306279280615
D1 距MA60 D1 (最极端),2026,175,0.0904900435746423,-0.26809812623927587
D2 距MA60 D2~D6,2015,244,1.139235142128081,-0.5085511591576826
D2 距MA60 D2~D6,2016,244,0.13973365126527404,-0.25343522809834196
D2 距MA60 D2~D6,2017,244,-0.17015421608752135,-0.22054134776555945
D2 距MA60 D2~D6,2018,243,-0.25838940626699247,-0.36537085788596735
D2 距MA60 D2~D6,2019,244,0.4672917773309402,-0.17140382383857666
D2 距MA60 D2~D6,2020,243,0.2055119961381504,-0.19489416045979968
D2 距MA60 D2~D6,2021,243,0.30869625232942655,-0.11667700794401814
D2 距MA60 D2~D6,2022,242,-0.014556422603506758,-0.30464289741721695
D2 距MA60 D2~D6,2023,242,0.13325499272413732,-0.0963168075656815
D2 距MA60 D2~D6,2024,242,0.15604428440289264,-0.3398331510768664
D2 距MA60 D2~D6,2025,243,0.5365376052589075,-0.1604716440337831
D2 距MA60 D2~D6,2026,175,-0.017916295858806053,-0.24459029539069244
D3 距MA120 D1,2015,244,1.664394578180998,-0.47623243595873355
D3 距MA120 D1,2016,244,0.2273453730688968,-0.2510327365741757
D3 距MA120 D1,2017,244,-0.1493087066224641,-0.2733687312501495
D3 距MA120 D1,2018,243,-0.22495387143847323,-0.3826439383863477
D3 距MA120 D1,2019,244,0.5883830976881552,-0.1939934977416895
D3 距MA120 D1,2020,243,0.1380549347389879,-0.21748540142950368
D3 距MA120 D1,2021,243,0.4252209024266862,-0.1303997711832955
D3 距MA120 D1,2022,242,0.03073018591123322,-0.3494999456550716
D3 距MA120 D1,2023,242,0.08025228337784784,-0.16545282877939527
D3 距MA120 D1,2024,242,0.3345830835111627,-0.37326356983126097
D3 距MA120 D1,2025,243,0.6542885333334976,-0.17005781698677058
D3 距MA120 D1,2026,175,0.06712699542223755,-0.2255492865063511
D4 距MA120 D2~D6,2015,244,0.8308948091900004,-0.5004537325096674
D4 距MA120 D2~D6,2016,244,0.15086924856592998,-0.24551888828820645
D4 距MA120 D2~D6,2017,244,-0.17447988552367677,-0.2214923617651232
D4 距MA120 D2~D6,2018,243,-0.26162249161662743,-0.35951495100102293
D4 距MA120 D2~D6,2019,244,0.44112239394688446,-0.17520004320109894
D4 距MA120 D2~D6,2020,243,0.21710469521365394,-0.19311937146432745
D4 距MA120 D2~D6,2021,243,0.30708604106702353,-0.11892233661198481
D4 距MA120 D2~D6,2022,242,-0.011335820520638418,-0.30370894837841167
D4 距MA120 D2~D6,2023,242,0.11862830022336501,-0.09363030853582577
D4 距MA120 D2~D6,2024,242,0.1530209327816594,-0.33223285147803794
D4 距MA120 D2~D6,2025,243,0.5166593841692733,-0.15121682074309328
D4 距MA120 D2~D6,2026,175,-0.005955543287773257,-0.2344092817715988
E1 ret20 D2~D6 + Close<MA60,2015,244,0.6504780885438364,-0.4930399092485982
E1 ret20 D2~D6 + Close<MA60,2016,244,0.1857798759705349,-0.2587460525001489
E1 ret20 D2~D6 + Close<MA60,2017,244,-0.1398670839896845,-0.21713161164511763
E1 ret20 D2~D6 + Close<MA60,2018,243,-0.24623180302498837,-0.35778674390311427
E1 ret20 D2~D6 + Close<MA60,2019,244,0.4130062085457218,-0.17426207192275234
E1 ret20 D2~D6 + Close<MA60,2020,243,0.19424727047365486,-0.20225859437036564
E1 ret20 D2~D6 + Close<MA60,2021,243,0.29120170941519974,-0.11612889402388316
E1 ret20 D2~D6 + Close<MA60,2022,242,-0.03198842042567418,-0.309871555561802
E1 ret20 D2~D6 + Close<MA60,2023,242,0.12724737628089344,-0.10707603161991108
E1 ret20 D2~D6 + Close<MA60,2024,242,0.016980795310521657,-0.34898462113646733
E1 ret20 D2~D6 + Close<MA60,2025,243,0.5088550622610695,-0.16537401959394382
E1 ret20 D2~D6 + Close<MA60,2026,175,-0.0005967457122284525,-0.24139367392672983
E2 ret20 D2~D6 + 距MA60<-10%,2015,244,0.1933269536299307,-0.44066429275952834
E2 ret20 D2~D6 + 距MA60<-10%,2016,244,0.19463177750855132,-0.25976993694438366
E2 ret20 D2~D6 + 距MA60<-10%,2017,244,-0.19088156311798732,-0.2947301855368827
E2 ret20 D2~D6 + 距MA60<-10%,2018,243,-0.2650266715049816,-0.37725046452464117
E2 ret20 D2~D6 + 距MA60<-10%,2019,244,0.6511406973442477,-0.2062676168371378
E2 ret20 D2~D6 + 距MA60<-10%,2020,243,-0.08406621072335829,-0.2380917289175397
E2 ret20 D2~D6 + 距MA60<-10%,2021,243,0.3152034171026552,-0.1257066441087099
E2 ret20 D2~D6 + 距MA60<-10%,2022,242,-0.0022809309455508187,-0.3406217769204535
E2 ret20 D2~D6 + 距MA60<-10%,2023,242,0.03860822376735906,-0.1941597637406156
E2 ret20 D2~D6 + 距MA60<-10%,2024,242,0.2167305802834063,-0.3551351393298129
E2 ret20 D2~D6 + 距MA60<-10%,2025,243,0.5703151300116545,-0.21684439290158342
E2 ret20 D2~D6 + 距MA60<-10%,2026,175,0.021182915897372867,-0.2652362197816238
E3 ret20 D2~D6 + 距MA60<-20%,2015,244,0.768150803593729,-0.4041284983170682
E3 ret20 D2~D6 + 距MA60<-20%,2016,244,-0.09139803587564688,-0.2862242029110269
E3 ret20 D2~D6 + 距MA60<-20%,2017,244,-0.12189149968454083,-0.24403503841907748
E3 ret20 D2~D6 + 距MA60<-20%,2018,243,-0.22058834785640724,-0.4628648522807094
E3 ret20 D2~D6 + 距MA60<-20%,2019,244,0.26400005059206855,-0.18296496980790555
E3 ret20 D2~D6 + 距MA60<-20%,2020,243,0.8369125573031637,-0.14649155255181456
E3 ret20 D2~D6 + 距MA60<-20%,2021,243,1.0975393511193006,-0.13601487024353054
E3 ret20 D2~D6 + 距MA60<-20%,2022,242,-0.13278392173361708,-0.3100061792473616
E3 ret20 D2~D6 + 距MA60<-20%,2023,242,-0.002012101953840051,-0.25134700058182635
E3 ret20 D2~D6 + 距MA60<-20%,2024,242,0.22806972190919672,-0.3664681426805598
E3 ret20 D2~D6 + 距MA60<-20%,2025,243,0.5028272144862278,-0.13778163722965664
E3 ret20 D2~D6 + 距MA60<-20%,2026,175,0.3667669278386445,-0.2200500713155914
E4 ret40 D1 + 距MA60 D1,2015,244,1.5713279009191532,-0.4773108833002654
E4 ret40 D1 + 距MA60 D1,2016,244,0.24661114651620664,-0.22919521613273808
E4 ret40 D1 + 距MA60 D1,2017,244,-0.14663904506116043,-0.24887392551781695
E4 ret40 D1 + 距MA60 D1,2018,243,-0.24932511258483447,-0.39551604747972025
E4 ret40 D1 + 距MA60 D1,2019,244,0.6234419094597627,-0.1863436706428926
E4 ret40 D1 + 距MA60 D1,2020,243,0.2208510067186189,-0.2050221768152245
E4 ret40 D1 + 距MA60 D1,2021,243,0.4064377676924138,-0.13888822833661285
E4 ret40 D1 + 距MA60 D1,2022,242,0.024714253259042973,-0.34330155351258373
E4 ret40 D1 + 距MA60 D1,2023,242,0.11692792693770482,-0.13082012532599474
E4 ret40 D1 + 距MA60 D1,2024,242,0.22354646598958672,-0.41046447519834384
E4 ret40 D1 + 距MA60 D1,2025,243,0.8400892522778447,-0.1845668879010981
E4 ret40 D1 + 距MA60 D1,2026,175,0.0959581140150525,-0.2616444122737608
E5 ret60 D1 + 距MA60 D1,2015,244,1.7929718188081423,-0.4799226325017324
E5 ret60 D1 + 距MA60 D1,2016,244,0.3048798470873486,-0.23420577273187282
E5 ret60 D1 + 距MA60 D1,2017,244,-0.12475889710684351,-0.2603044567414352
E5 ret60 D1 + 距MA60 D1,2018,243,-0.2570214190089758,-0.4023890183743807
E5 ret60 D1 + 距MA60 D1,2019,244,0.6042654455638141,-0.209067136288957
E5 ret60 D1 + 距MA60 D1,2020,243,0.18037958354874983,-0.21389809268889937
E5 ret60 D1 + 距MA60 D1,2021,243,0.5071419469602618,-0.13568939556422743
E5 ret60 D1 + 距MA60 D1,2022,242,0.010157676472166921,-0.34311043409429287
E5 ret60 D1 + 距MA60 D1,2023,242,0.08056709890680191,-0.14398395093536498
E5 ret60 D1 + 距MA60 D1,2024,242,0.2511649618852192,-0.4041920772611487
E5 ret60 D1 + 距MA60 D1,2025,243,0.7673430428424077,-0.18706006535488306
E5 ret60 D1 + 距MA60 D1,2026,175,0.1619291646138339,-0.2461252916054283
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2015,244,1.7870791168210074,-0.46453729656313736
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2016,244,0.27552310705425986,-0.2314342699531281
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2017,244,-0.13581813561706912,-0.2586609465599413
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2018,243,-0.25772861671411484,-0.4209815181132218
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2019,244,0.62590344890076,-0.21177173169388552
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2020,243,0.21883344381859726,-0.20314612506753904
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2021,243,0.5303176871335418,-0.13393158917149084
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2022,242,0.0343458455882788,-0.3461338645867743
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2023,242,0.1048020334144728,-0.14039446489907914
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2024,242,0.22093441930654212,-0.4077857320317667
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2025,243,0.8215628329330642,-0.1847047667332331
E6 ret40 D1 + ret60 D1 + 距MA60 D1,2026,175,0.16839533307279142,-0.24392620460109682
F1 三者皆 D8~D10 (全最强),2015,244,-0.24345780020463959,-0.6502471091434168
F1 三者皆 D8~D10 (全最强),2016,244,-0.2046345173345776,-0.3153603057861636
F1 三者皆 D8~D10 (全最强),2017,244,-0.14316216949218097,-0.17306913045663785
F1 三者皆 D8~D10 (全最强),2018,243,-0.4466399847844915,-0.4527322164798723
F1 三者皆 D8~D10 (全最强),2019,244,0.009330260168268545,-0.28739556991217563
F1 三者皆 D8~D10 (全最强),2020,243,0.16813763109505442,-0.18965359118537306
F1 三者皆 D8~D10 (全最强),2021,243,0.1085548512996155,-0.14866209475504988
F1 三者皆 D8~D10 (全最强),2022,242,-0.30868821082736875,-0.3254903434323684
F1 三者皆 D8~D10 (全最强),2023,242,-0.010334104011374246,-0.20808330961661703
F1 三者皆 D8~D10 (全最强),2024,242,-0.21018379907742846,-0.39198619339844565
F1 三者皆 D8~D10 (全最强),2025,243,0.17925498106991355,-0.21596116571933466
F1 三者皆 D8~D10 (全最强),2026,175,-0.07258913965267622,-0.29180755453094387
