entry,exit,n_sig,avg_hold,cagr,mdd,win,sharpe,exw,t_exw,n_active_days
R4_完整+0轴下,XA_固定持有5日,49756,4.993769595626658,-0.27728071729523296,-0.9795955052758243,0.46942148760330576,-1.5788073561155014,-0.001638841608224062,-8.876476639609868,2420
R4_完整+0轴下,XA_固定持有10日,49756,9.97925878286036,-0.1640312676480974,-0.9047239771988845,0.5021645021645021,-0.7757412720363398,-0.0010830863135973122,-6.408725805317047,2541
R4_完整+0轴下,XD_ATR2倍止损,49756,9.375070343275183,-0.17103811036378636,-0.913354508289271,0.5015748031496063,-0.8350297987499999,-0.001107396865154488,-6.4017367937151075,2540
R4_完整+0轴下,XD_ATR3倍止损,49756,9.763726987699975,-0.162452053047339,-0.9026228961082874,0.5025580480125935,-0.7756772777832166,-0.0010765090751521202,-6.316075808817306,2541
R5_完整但不剔除D1,XA_固定持有5日,66012,4.992789189844271,-0.26113461978878816,-0.9771931778354999,0.4809674861221253,-1.3921600331820985,-0.0016215406434190644,-8.480462779437817,2522
R5_完整但不剔除D1,XA_固定持有10日,66012,9.975716536387324,-0.13771241633278253,-0.8768088822507967,0.5044145873320537,-0.5950759369186956,-0.001057762496122979,-6.327370748747461,2605
R5_完整但不剔除D1,XD_ATR2倍止损,66012,9.355086953887172,-0.14083699465905064,-0.8817283199907711,0.5034588777863183,-0.6324627656082064,-0.001090520882548781,-6.4015888106752215,2602
R5_完整但不剔除D1,XD_ATR3倍止损,66012,9.757710719263164,-0.13387080063475632,-0.8703566729567415,0.5038402457757296,-0.5847366430132325,-0.0010584608442406255,-6.27294975450018,2604
R5b_仅D1(完整),XA_固定持有5日,6632,4.98854041013269,-0.12995534852064128,-0.8542391767066273,0.492,-0.7983010160666059,-0.001055346226876897,-3.119523094628006,1500
R5b_仅D1(完整),XA_固定持有10日,6632,9.962153196622436,-0.047838073799382874,-0.7587000857835131,0.5114300903774588,-0.09933142349835336,-0.0005966861775346661,-1.9778221599227983,1881
R5b_仅D1(完整),XD_ATR2倍止损,6632,9.233262967430639,-0.039036097093542166,-0.70486212140974,0.5139335476956056,-0.06415813534476657,-0.0005034813278199416,-1.6519834623375438,1866
R5b_仅D1(完整),XD_ATR3倍止损,6632,9.723462002412544,-0.0476982234593728,-0.7321453594690568,0.5111940298507462,-0.10618066241732654,-0.000577464593185542,-1.909857279502247,1876
R6_缩量更严(vz<-1.5),XA_固定持有5日,13177,4.9951430522880775,-0.30891667138025036,-0.988737944684308,0.47248322147651006,-1.7559060914712572,-0.001938231699996704,-8.11706298489576,2235
R6_缩量更严(vz<-1.5),XA_固定持有10日,13177,9.983380132048266,-0.17716156004968997,-0.9283384139337398,0.5006080259424402,-0.8092655103162033,-0.0011885243051707973,-6.260065865052543,2467
