combo,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw60,t60,mean60,med60,win60,pf60,payoff60
D1 距MA60 D1 (最极端),1045862,0.2747537312796058,-0.5013184930640031,0.8444505425042389,0.31083087543211446,367.75923970432945,0.0005674563741196053,3.89653786986256,0.001097809044368898,0.0,0.49151419787826234,1.1059493397651539,1.0962969201863368,0.002098852557397547,6.188788496745024,0.005063498885282039,0.0,0.4952099719282968,1.2222309184196027,1.2241387716743708,0.0028975606211032972,6.410596449053208,0.009023039761922987,0.0,0.49877649760058923,1.2864538620634254,1.2773228471446731,0.003691984006368549,5.846446361354811,0.016394642235814594,0.0,0.49939406590475527,1.375280923220196,1.3675469707109305,-0.009685300259828646,-8.739834282923535,0.027175436507027417,-0.014094662852585316,0.4664666057013429,1.3746304266740688,1.5657518283376584
D2 距MA60 D2~D6,5236972,0.18273293781876787,-0.5085511591576826,0.6873891569441083,0.21899534995224437,1841.4885603660682,0.0001991814610100025,3.7932053640722,0.0007880674122479278,0.0,0.4879677976569236,1.0874744989326244,1.07329239738443,0.0007859199181935782,6.532060072397272,0.003852907612808975,0.0,0.4976208895151549,1.1939623491302005,1.1751966324247562,0.0011087334970542168,6.408153556565515,0.007331399042998484,0.0011834462056867778,0.5036704248437549,1.2646946640805277,1.224811298877238,0.0011771067368366304,4.2211033683169985,0.014001099216103699,0.0008547391043975949,0.501409373836579,1.3625564365458098,1.3402530287521957,-0.003336873359322013,-5.570389948541164,0.03339662986980509,-0.005988054443150759,0.48256455376400437,1.5378217165530197,1.6396271978777228
D3 距MA120 D1,1039299,0.2651037877402471,-0.49383914586310795,0.8402953263889693,0.2984845008064366,369.3493418712202,0.0005786665296615827,4.3257328042991325,0.001090038189684392,0.0,0.4886408839566151,1.1082701634370804,1.1079359306148457,0.0023162524734068996,7.2324054265706845,0.005066280581503489,0.0,0.4952442996742671,1.2266346013218143,1.2271724574128964,0.0032279006432740552,7.269510772726512,0.008884993073758129,0.0002150555737898685,0.5001751357543996,1.2857597256094482,1.2688757080334514,0.003455366675076975,5.4451810314394855,0.015089103536816771,0.0,0.49804463541519767,1.3470821249716889,1.3462403433248022,-0.010321591099134997,-9.360521765737758,0.022555061295469667,-0.017356514930725098,0.45841255909041717,1.3058808215232536,1.5362393671753878
D4 距MA120 D2~D6,5204083,0.16435322892115822,-0.5018293947894598,0.6431628118300259,0.20179125572415862,1849.4418356456777,0.0001867731364218115,3.561755437951354,0.0007442587507458943,0.0,0.48586351300429853,1.0827025297915553,1.0771344879062565,0.0006098818767675024,4.962886818309842,0.003523549750077837,0.0,0.4953433636836914,1.1780472315245345,1.1696631703523084,0.000692962833346551,3.8978051570304677,0.006665060626413229,0.0005476435471791774,0.5007959491040886,1.241632624955108,1.2159164744528341,0.00038547165794945926,1.3661871902691103,0.012451109106074934,0.0,0.4978118788823344,1.3229506247901794,1.319827749506581,-0.003967078416214613,-6.886537731831808,0.02912476491312019,-0.007447254378348589,0.4781616881002606,1.4697389267951548,1.5947062739463125
E1 ret20 D2~D6 + Close<MA60,3675113,0.14391008703971986,-0.4930399092485982,0.5767573370111989,0.18764375332478128,1304.3911190053286,9.14680407878812e-05,0.8817201524094624,0.000623378400067444,0.0,0.48988265078661747,1.069344870602118,1.044625669618504,0.0006212200639319448,2.7956793631881514,0.0038234643259365017,0.0007143155089579523,0.5019875828955683,1.1937716411686763,1.1530451312730072,0.0007620961730794609,2.116045548939509,0.007700453380806527,0.0019685490988194942,0.5086199325835503,1.2851929634643333,1.2192971181758545,-0.00028050376115608503,-0.5397228689301471,0.01575747710906507,0.003573174588382244,0.5128746624127862,1.428942573701858,1.3416777426262538,-0.006792213524422047,-4.975058478987569,0.041189172273584936,0.0018050968647003174,0.5032966952437564,1.7139718920638243,1.6812228359754509
E2 ret20 D2~D6 + 距MA60<-10%,1080215,0.1136638615230634,-0.520588054713487,0.48165684664394276,0.16947059117798235,400.5986646884273,0.00022300632372323142,1.4865641602370576,0.001722723895578544,0.0017986022867262363,0.5197562253822635,1.148174715183323,1.0152951077200127,0.0003189490187226399,0.8886670389755209,0.009543723269619213,0.007194304605945945,0.5484350981551978,1.4118106615808943,1.139470616203931,-0.00014036577556915587,-0.2699260157384295,0.01815483939197622,0.012173929251730442,0.5588578137292328,1.610468262039921,1.2539520807576374,-0.001981038306770482,-2.694517983740869,0.03456200370467371,0.02249491587281227,0.5795750218847042,1.9590277594405405,1.4073535227204106,-0.016719516883622658,-13.099149530268848,0.06275272788141646,0.021026961505413055,0.5493100387426799,2.174078326688271,1.7735744950538532
E3 ret20 D2~D6 + 距MA60<-20%,181086,0.24087569263297026,-0.5921808440379563,0.7246720407624929,0.2989907162825838,85.69995267392333,0.0010509783533029775,2.7115215008642783,0.005694080703012019,0.007320966571569443,0.5698129045084049,1.3311625214589884,0.9750471330038606,0.004022660923595588,4.7066028048437785,0.03491962105254819,0.031194226816296577,0.6462894638004552,2.383070945815855,1.2840991197880172,0.007553801466862463,5.57873504853512,0.06263132973170038,0.05651818588376045,0.676604705921369,3.365416014128056,1.5903605869462603,0.013542584554030757,6.2928876338918105,0.09819865842671978,0.08514676615595818,0.718915563831438,4.569087326876009,1.7696390379901275,0.003142914473915015,0.9844090011013745,0.16537278907696845,0.11285488680005074,0.716366779387271,6.25298920232707,2.4594088595553116
E4 ret40 D1 + 距MA60 D1,732808,0.27667912381743154,-0.48808861088841937,0.8450278015939346,0.31317757730851736,258.7310954063604,0.000603460194910266,3.946508749446131,0.001222169731698039,0.0,0.4915440809932683,1.116829088967433,1.1078581629486317,0.002296210325658202,6.311300616308836,0.0056556293996718535,0.0,0.4979265256995924,1.2463473434554553,1.2350736813009429,0.0033900006505204394,6.950328554500739,0.009851394736390915,0.0005700805631931871,0.5010667061539896,1.3103347412907513,1.2894992959199758,0.004702891633456534,6.981851738822902,0.017244755523522854,0.000651479815132916,0.500954326025332,1.3906703682928807,1.3744688216957197,-0.009393421866630348,-7.975879371732968,0.025460760603950458,-0.015511732548475266,0.46386884729241473,1.3451706151282885,1.5482567299506398
E5 ret60 D1 + 距MA60 D1,606963,0.2947319403293336,-0.4809824879801913,0.8829438659398714,0.3272369571647117,215.8355871886121,0.0007023808913983391,4.508527515650232,0.0011844028194816175,0.0,0.4887171928019548,1.1130798387998329,1.117312010140249,0.00264757376238736,7.195033915654722,0.0055752921283081765,0.0,0.49527176022662517,1.24212321210423,1.2441820942961184,0.0037983906226809858,7.554755083063105,0.009518420166313272,0.0,0.49804925547135814,1.2979849294046424,1.2930650176499383,0.004365416519910096,6.093970586486938,0.015582689843812484,0.0,0.4960942374404153,1.3480278880019974,1.3584940132350007,-0.00805637413842799,-7.244705202991718,0.0230569827139259,-0.01685400865972042,0.46012708512263834,1.3109399251004525,1.531752211845013
E6 ret40 D1 + ret60 D1 + 距MA60 D1,449377,0.30377906534289,-0.491631860753143,0.8972951617061865,0.3352512430291704,159.84697508896798,0.0007348739934887386,4.4740841312898,0.0012925978708094217,0.0,0.48897522096310975,1.1217655509327424,1.1255654970696796,0.002802118414793966,7.133036556512713,0.006150687161368503,0.0,0.4979030360294511,1.2641388931626707,1.2531060873225357,0.0041698274082504535,7.785963463285899,0.010249233101986164,0.0,0.49971524606090384,1.3171068603067866,1.3038327777593373,0.0051275495305127,6.731924252399009,0.0163650159244097,0.0,0.4978293920055252,1.3615067276209138,1.3627761777500405,-0.007703109411660217,-6.432846221207577,0.022461947676437322,-0.017776843160390854,0.4588628625062516,1.2980305498415048,1.524320729706225
F1 三者皆 D8~D10 (全最强),1742175,-0.12431830570132774,-0.9179909755104124,-0.23764270900864276,-0.07812911741377988,619.4768683274021,-0.0009411343341693264,-6.189638863502678,-0.0001903279296668025,-0.0019960796926170588,0.4619946803927088,0.9873475987041459,1.115443687102167,-0.004459218526601764,-13.069499040717856,-0.0005086370609531871,-0.0069191057700663805,0.4508510217094556,0.9842742325477638,1.183889805499272,-0.0077217540668328075,-15.514741479500223,8.612469402946663e-05,-0.010711798444390297,0.44826508013335464,1.0019448448153465,1.2225954501883514,-0.012361816067212185,-17.656199094363885,0.0013690598546413524,-0.018466074019670486,0.4383096243030587,1.0224782917912982,1.3027142534116283,-0.024459097563038705,-22.90299463739703,0.0078026299771926716,-0.04015199467539787,0.41778696635358586,1.0846582042426185,1.5071053840554811
