entry,year,n,mean20,win,exw20,t
EN3_0轴上金叉,2016,7221,-0.0030611196563907557,0.4572773854036837,-0.015286027637004412,-4.234235646763179
EN3_0轴上金叉,2017,6801,-0.018679603960999745,0.396118217909131,-0.000534435690110334,-0.23248531005771175
EN3_0轴上金叉,2018,5322,-0.04743720610616316,0.2944381811349117,-0.019956780983526278,-6.445333148538211
EN3_0轴上金叉,2019,10065,-0.006503439904434588,0.43815201192250375,-0.010172582937261105,-4.381399486655008
EN3_0轴上金叉,2020,13131,0.020579046201759137,0.487929327545503,0.0012938570588661431,0.43431813769850636
EN3_0轴上金叉,2021,13852,0.006627805599493444,0.4477331793242853,-0.01725727025159725,-6.3792671115700115
EN3_0轴上金叉,2022,12987,-0.0216453116227866,0.37475937475937476,-0.026174271020077886,-8.35101411192607
EN3_0轴上金叉,2023,14367,-0.011850062772064731,0.3991786733486462,-0.01348857761008947,-6.49504099232827
EN3_0轴上金叉,2024,15885,-0.008621635943406664,0.40799496380232925,-0.020859070379236285,-5.9373660580552095
EN3_0轴上金叉,2025,21961,0.024085916726388157,0.5156413642366012,-0.009085837070850155,-4.200439909910842
EN3_0轴上金叉,2026,8542,-0.033329127725048105,0.3393818777803793,-0.023032797532734885,-3.6237391692011034
EN4_柱连3日改善,2015,247291,0.05608091074595975,0.6179885236421867,-0.009378194322121737,-5.2951361710580205
EN4_柱连3日改善,2016,280274,0.016476205886748446,0.5279155397932024,-0.005440005213181126,-4.540079179759162
EN4_柱连3日改善,2017,319892,-0.009315048863373513,0.45666662498593275,-0.000635554917403077,-1.165033118589356
EN4_柱连3日改善,2018,364231,-0.023591989894989358,0.381700074952434,-0.005179851011104155,-5.295320868219928
EN4_柱连3日改善,2019,402070,0.02497820016238196,0.5590767776755291,-0.0037812193506028755,-5.716949261433743
EN4_柱连3日改善,2020,415059,0.008903001022257112,0.45615201694216967,-0.001579223770380743,-1.426434405683403
EN4_柱连3日改善,2021,468218,0.022519301986874938,0.5242728814355706,0.00046271546105503014,0.7928564614342773
EN4_柱连3日改善,2022,514805,-0.0012790499269744653,0.46590456580647044,-0.0013817305061255714,-1.5779584783276397
EN4_柱连3日改善,2023,551191,0.0019249027468145755,0.4564461321030278,-0.0011073270200081062,-1.4203383564659982
EN4_柱连3日改善,2024,571242,0.014157606247379053,0.45531140917509566,-0.002720249190157599,-2.2430290557688655
EN4_柱连3日改善,2025,650640,0.04018623809349466,0.6032368129841387,-0.0020040062957366934,-3.5269638341407705
EN4_柱连3日改善,2026,411853,-0.003192754515971044,0.4446198036678135,0.00017032559389734258,0.13119639249922432
EN5_柱连5日改善,2015,77515,0.05158344398924383,0.6136489711668709,-0.017706482430011196,-5.527944029921137
EN5_柱连5日改善,2016,93928,0.0120184938973901,0.5042905203986032,-0.009016332108680252,-5.568034003693645
EN5_柱连5日改善,2017,99105,-0.007176851060638455,0.47941072599767925,-0.002262328144160974,-2.0988267618717398
EN5_柱连5日改善,2018,120189,-0.007087585657057675,0.45121433741856576,-0.00899505040452322,-5.958080536242494
EN5_柱连5日改善,2019,129229,0.03507593021487052,0.6087410720503912,-0.008047652456931446,-4.954154709642651
EN5_柱连5日改善,2020,129864,0.008459892521096943,0.4578328097086182,-0.0026196206165138188,-0.9670040231364666
EN5_柱连5日改善,2021,144417,0.02764625954917261,0.5518325404903854,0.0027293537905789347,2.025474961245253
EN5_柱连5日改善,2022,161812,0.004544479974037281,0.4970644945986701,-0.005343445663699179,-2.8813149499825097
EN5_柱连5日改善,2023,167811,0.009003829618381566,0.49420478991246103,-0.0022927955232509485,-1.6370722862721083
