entry,exit,train,test,n_sig,cagr,win,exw,t_exw
R4_完整+0轴下,XD_ATR3倍止损,2018-2022,2023,5420,0.01862193386282729,0.48760330578512395,-0.0004331889883739916,-1.4558481841340998
R4_完整+0轴下,XD_ATR3倍止损,2019-2023,2024,2588,-0.16216642673065995,0.46226415094339623,-0.00029650067258522216,-0.41319307689109924
R4_完整+0轴下,XD_ATR3倍止损,2020-2024,2025,7902,-0.11686418550699562,0.5432098765432098,-0.001996087705376518,-4.039488692085195
R4_完整+0轴下,XD_ATR3倍止损,2021-2025,2026,3684,-0.05248539211269487,0.5375722543352601,-0.00024903679653757657,-0.326026883973337
R5_完整但不剔除D1,XA_固定持有5日,2015-2019,2020,3885,-0.18013656019317792,0.5394736842105263,-0.0018278912918601653,-2.1164125135718748
R5_完整但不剔除D1,XA_固定持有5日,2016-2020,2021,5185,-0.19190589488053045,0.5185185185185185,-0.0019066162177447648,-5.466010630522152
R5_完整但不剔除D1,XA_固定持有5日,2017-2021,2022,8517,-0.5028771466839422,0.4767932489451477,-0.0022504617815505283,-4.838699088710102
R5_完整但不剔除D1,XA_固定持有5日,2018-2022,2023,7198,-0.1312715413221961,0.45454545454545453,-0.0010582665322965241,-2.724118833059093
R5_完整但不剔除D1,XA_固定持有5日,2019-2023,2024,3632,-0.34157370628009287,0.419811320754717,-0.0013069334585128186,-1.6833451788102778
R5_完整但不剔除D1,XA_固定持有5日,2020-2024,2025,10436,-0.2272419962149581,0.5020576131687243,-0.002524646682689399,-4.923352292244571
R5_完整但不剔除D1,XA_固定持有5日,2021-2025,2026,4669,-0.3143218979793243,0.48823529411764705,-0.0013269278582813504,-1.7718784207642178
R5_完整但不剔除D1,XA_固定持有10日,2015-2019,2020,3885,0.10614666472117751,0.5432098765432098,-0.00041178280633622654,-0.6140750394585769
R5_完整但不剔除D1,XA_固定持有10日,2016-2020,2021,5185,-0.048961633091743284,0.5637860082304527,-0.0012620566826306726,-4.058894109387979
R5_完整但不剔除D1,XA_固定持有10日,2017-2021,2022,8517,-0.3260189348402729,0.5165289256198347,-0.001172079254294581,-2.4472758512084405
R5_完整但不剔除D1,XA_固定持有10日,2018-2022,2023,7198,-0.009264227492035149,0.5,-0.0005439889463230527,-1.7941200209659698
R5_完整但不剔除D1,XA_固定持有10日,2019-2023,2024,3632,-0.2332348373582237,0.4484304932735426,-0.001028060476892365,-1.4069077623861872
R5_完整但不剔除D1,XA_固定持有10日,2020-2024,2025,10436,-0.08190788174372121,0.5267489711934157,-0.0018431077780734358,-4.0474384923447415
